feature,family,lag,volume_normalized,target,horizon,target_kind,correlation,abs_correlation,n_samples
ES_pct_240_per_ESvol,ES,240,True,ES_fwd_up_240,240,binary,0.00025082638568226846,0.00025082638568226846,1051983
ES_minus_SPX_pct_120_per_ESvol,ES_minus_SPX,120,True,ES_fwd_ret_120,120,signed,-0.0002495534303582653,0.0002495534303582653,1132396
ES_minus_SPY_pct_2,ES_minus_SPY,2,False,ES_fwd_ret_180,180,signed,-0.00024934614462067753,0.00024934614462067753,1167678
ES_minus_SPX_pct_12_per_ESvol,ES_minus_SPX,12,True,ES_fwd_ret_240,240,signed,-0.00024911331303173066,0.00024911331303173066,1129301
SPX_pct_1_per_ESvol,SPX,1,True,ES_fwd_up_60,60,binary,0.00024847676489477585,0.00024847676489477585,1140894
ES_minus_SPY_pct_60,ES_minus_SPY,60,False,ES_fwd_ret_180,180,signed,-0.00024798340566364733,0.00024798340566364733,1152424
SPY_minus_SPX_pct_1_per_ESvol,SPY_minus_SPX,1,True,ES_fwd_up_120,120,binary,-0.0002479127482498645,0.0002479127482498645,1135927
ES_minus_SPY_pct_8,ES_minus_SPY,8,False,ES_fwd_up_240,240,binary,-0.00024724840928419675,0.00024724840928419675,1113761
SPY_minus_SPX_pct_8_per_ESvol,SPY_minus_SPX,8,True,ES_fwd_ret_60,60,signed,0.0002461542802828837,0.0002461542802828837,1176944
ES_pct_45,ES,45,False,ES_fwd_ret_240,240,signed,-0.0002455535802561525,0.0002455535802561525,1140589
SPY_minus_SPX_pct_5,SPY_minus_SPX,5,False,ES_fwd_up_180,180,binary,-0.0002453674067303461,0.0002453674067303461,1126737
ES_minus_SPY_pct_30,ES_minus_SPY,30,False,ES_fwd_up_180,180,binary,-0.0002448096674184002,0.0002448096674184002,1120329
SPY_pct_300_per_ESvol,SPY,300,True,ES_fwd_up_60,60,binary,0.00024340603217853874,0.00024340603217853874,1064789
ES_minus_SPX_pct_45_per_ESvol,ES_minus_SPX,45,True,ES_fwd_up_180,180,binary,0.00024029125031665676,0.00024029125031665676,1114307
ES_minus_SPX_pct_60_per_ESvol,ES_minus_SPX,60,True,ES_fwd_ret_240,240,signed,0.00023832609283342462,0.00023832609283342462,1116869
ES_minus_SPX_pct_3_per_ESvol,ES_minus_SPX,3,True,ES_fwd_up_180,180,binary,0.00023720468726647946,0.00023720468726647946,1125059
ES_minus_SPX_pct_8_per_ESvol,ES_minus_SPX,8,True,ES_fwd_ret_12,12,signed,-0.00023696414619592233,0.00023696414619592233,1189376
